Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,Ligne_5,coordonnees_gps,blank
71327,CORNUS,12540,CORNUS,,43.8787455208, 3.14987374669
71328,COUBISOU,12190,COUBISOU,,44.5757488453, 2.68710158175
71329,LA COUVERTOIRADE,12230,LA COUVERTOIRADE,,43.9902158825, 3.26114811927
71330,CRANSAC,12110,CRANSAC,,44.5334610269, 2.25593564519
71331,LA CRESSE,12640,LA CRESSE,,44.1929221049, 3.13986623915
71332,DRUELLE,12000,DRUELLE,AMPIAC,44.3677869063, 2.531363607
71333,ESPALION,12500,ESPALION,,44.5270610356, 2.81719827673
71334,ESTAING,12190,ESTAING,,44.5757488453, 2.68710158175
71335,FLAGNAC,12300,FLAGNAC,,44.5947922935, 2.27515362111
71336,FOISSAC,12260,FOISSAC,,44.458873555, 1.98297177766
71337,L HOSPITALET DU LARZAC,12230,L HOSPITALET DU LARZAC,,43.9902158825, 3.26114811927
71338,HUPARLAC,12460,HUPARLAC,,44.7074104935, 2.68829666871
71339,ST JUIRE CHAMPGILLON,85210,ST JUIRE CHAMPGILLON,,46.5616618506, -1.03160882247
71340,ST PAUL EN PAREDS,85500,ST PAUL EN PAREDS,,46.8741028574, -1.03230822267
71341,STE PEXINE,85320,STE PEXINE,,46.544588242, -1.21560029511
71342,ST URBAIN,85230,ST URBAIN,,46.9369632993, -2.01322224177
71343,ST VINCENT STERLANGES,85110,ST VINCENT STERLANGES,,46.7036383964, -1.03264404466
71344,SALLERTAINE,85300,SALLERTAINE,,46.8368087633, -1.89265677262
71345,TALLUD STE GEMME,85390,TALLUD STE GEMME,,46.6728627352, -0.866891813869
71346,THIRE,85210,THIRE,,46.5616618506, -1.03160882247
71347,THOUARSAIS BOUILDROUX,85410,THOUARSAIS BOUILDROUX,,46.5977381891, -0.875564546454
71348,TIFFAUGES,85130,TIFFAUGES,,46.9611825391, -1.05958442905
71349,VELLUIRE,85770,VELLUIRE,,46.3688776738, -0.891505234043
71350,LA VERRIE,85130,LA VERRIE,,46.9611825391, -1.05958442905
71351,VOUVANT,85120,VOUVANT,,46.6284872082, -0.712728404549
71351,ARCAY,86200,ARCAY,,46.998807994, 0.139457341652
71352,ASLONNES,86340,ASLONNES,,46.4622005788, 0.430372599517
71353,ASNOIS,86250,ASNOIS,,46.1357825974, 0.396436618847
71354,AULNAY,86330,AULNAY,,46.8727701949, 0.0622118082158
71355,AVAILLES EN CHATELLERAULT,86530,AVAILLES EN CHATELLERAULT,,46.7647730786, 0.524858476534
